id,texto_relato,natureza,bairro,turno,dia_semana,houve_violencia,valor_prejuizo_reais,idade_vitima,reincidencia
26,Vitima relata ter caido em golpe de venda falsa pela internet e perdido veiculo,Estelionato,Ceilândia,Noite,Segunda,False,350000.0,71.0,False
27,Comunicante relata que seu veiculo foi danificado em frente a escola,Dano ao Patrimonio,Asa Norte,Noite,Quarta,True,857.42,60.0,False
28,Comunicante relata desaparecimento de familiar desde o dia anterior,Pessoa Desaparecida,Samambaia,Madrugada,Sábado,False,0.0,49.0,False
29,Vitima relata ter caido em golpe de venda falsa pela internet e perdido carteira,Estelionato,Planaltina,Noite,Sexta,False,310.93,59.0,False
30,Comunicante relata ter recebido ameacas de morte por aplicativo de mensagens,Ameaca,Asa Norte,Madrugada,Quarta,True,0.0,69.0,False
31,Comunicante relata movimentacao suspeita associada a trafico de drogas dentro do onibus,Trafico de Drogas,Ceilândia,Madrugada,Quinta,True,0.0,70.0,False
32,Comunicante relata movimentacao suspeita associada a trafico de drogas no estacionamento do shopping,Trafico de Drogas,Asa Sul,Manhã,Sexta,False,0.0,39.0,True
33,Vitima procurou a delegacia apos sofrer agressao fisica de conhecido,Lesao Corporal,Asa Norte,Madrugada,Segunda,True,0.0,37.0,True
34,Vitima informa que foi abordada por individuo armado que levou notebook na parada de onibus,Roubo,Águas Claras,Noite,Quarta,True,1516.84,74.0,False
35,Comunicante relata que seu veiculo foi danificado na feira livre,Dano ao Patrimonio,Ceilândia,Noite,Terça,False,800.88,44.0,False
36,Comunicante relata que seu veiculo foi danificado na parada de onibus,Dano ao Patrimonio,Asa Sul,Manhã,Terça,False,1525.12,46.0,False
37,Comunicante relata ter sido rendido e ter notebook levado no estacionamento do shopping,Roubo,Asa Norte,Manhã,Domingo,True,3138.41,22.0,False
38,Comunicante relata som alto excessivo vindo de imovel vizinho na feira livre,Perturbacao do Sossego,Guará,Madrugada,Segunda,False,0.0,48.0,False
39,Vitima informa que janela de sua residencia foi quebrada durante a madrugada,Dano ao Patrimonio,Samambaia,Manhã,Segunda,False,544.11,,False
40,Comunicante relata ter recebido ameacas de morte por aplicativo de mensagens,Ameaca,Sobradinho,Manhã,Terça,False,0.0,26.0,False
41,Comunicante relata agressao fisica por parte de companheiro durante discussao domestica,Violencia Domestica,Ceilândia,Noite,Sexta,True,0.0,29.0,True
42,Vitima relata ter sido agredida pelo companheiro na frente dos filhos,Violencia Domestica,Samambaia,Noite,Sábado,True,0.0,34.0,True
43,Comunicante relata agressao fisica por parte de companheiro apos discussao,Violencia Domestica,Taguatinga,Madrugada,Domingo,True,0.0,41.0,False
44,Vitima procura delegacia com lesoes visiveis apos briga domestica,Violencia Domestica,Planaltina,Noite,Quarta,True,0.0,38.0,True
45,Comunicante relata agressao fisica reiterada por parte do companheiro,Violencia Domestica,Gama,Tarde,Segunda,True,0.0,45.0,True
46,Vitima relata ter sido empurrada e agredida pelo companheiro dentro de casa,Violencia Domestica,Sobradinho,Noite,Sexta,True,0.0,27.0,False
47,Comunicante relata discussao domestica sem contato fisico entre o casal,Violencia Domestica,Águas Claras,Tarde,Terça,False,0.0,52.0,False
48,Vitima relata ameaças verbais do companheiro sem agressao fisica,Violencia Domestica,Asa Sul,Manhã,Quinta,False,0.0,48.0,False
49,Comunicante relata furto de bicicleta deixada sem cadeado em area comum,Furto,Guará,Tarde,Sábado,False,890.5,44.0,False
50,Vitima relata ter sido abordada e ter celular levado mediante ameaca,Roubo,Ceilândia,Noite,Sexta,True,1200.0,33.0,False
51,Comunicante relata trafico de drogas em ponto conhecido do bairro,Trafico de Drogas,Samambaia,Madrugada,Sábado,False,0.0,,False
52,Vitima relata golpe de falso emprego com cobranca antecipada de taxa,Estelionato,Taguatinga,Tarde,Quarta,False,650.0,29.0,False
53,Comunicante relata perturbacao do sossego por obra irregular no periodo noturno,Perturbacao do Sossego,Asa Norte,Noite,Segunda,False,0.0,66.0,False
54,Vitima relata agressao fisica por desconhecido apos discussao de transito,Lesao Corporal,Gama,Tarde,Sexta,True,0.0,52.0,False
55,Comunicante relata desaparecimento de adolescente ha 2 dias,Pessoa Desaparecida,Planaltina,Manhã,Terça,False,0.0,16.0,False
